a fat child is with a arrow .,a child is playing with a puppy .,A,a fat child is with a arrow .,A,1,0.151234,0.397019,1,1
nobody is walking home .,a group of women with long hair .,A,nobody is walking home .,A,1,0.883719,0.449402,0,0
donkey took a football catch,two young men play baseball,A,donkey took a football catch,A,1,0.815023,0.81159,0,0
a soup bowl prepares a woman .,a woman is making beef .,A,a woman is making beef .,B,0,0.793365,0.668156,0,1
a large crowd is standing out,the people in the room are avoiding the cameraman .,A,a large crowd is standing out,A,1,0.775768,0.960784,1,1
two people talking over a glass of glass,two women are drinking wine and having a conversation .,A,two people talking over a glass of glass,A,1,0.750793,0.751735,1,1
a man is riding a four-wheeler on his farm .,a man rides a big dirt bike in a forest .,B,a man rides a big dirt bike in a forest .,B,1,0.737998,0.802243,1,1
the people are standing in a field of zombies .,there is a group of people outdoors .,A,the people are standing in a field of zombies .,A,1,0.703757,0.491632,0,0
two women are eating tacos at home .,the women are taking a break in new york city .,A,the women are taking a break in new york city .,B,0,0.667467,0.576259,0,1
a woman wears a yellow hat .,the woman is blonde .,B,a woman wears a yellow hat .,A,0,0.665316,0.765678,1,0
a nurse is in training .,a small woman lifts clay shoes .,B,a small woman lifts clay shoes .,B,1,0.651526,0.911775,1,1
a man is sitting alone under a grocery cart .,a man is watching a movie in a theater .,A,a man is sitting alone under a grocery cart .,A,1,0.581415,0.443392,0,0
a man makes a dog holding something in it .,a man is walking a brown dog,A,a man makes a dog holding something in it .,A,1,0.567142,0.65656,1,1
a airplane is riding a plane .,the bystanders are terrorists .,A,a airplane is riding a plane .,A,1,0.55189,0.859538,1,1
a boy cradles out of the water,a father is trying to teach his toddler how to ride a bike .,A,a boy cradles out of the water,A,1,0.546713,0.95519,1,1
a scene of a young woman sleeps,some woman are running through the halls .,A,a scene of a young woman sleeps,A,1,0.540966,0.518765,0,0
a dog is being photographed .,the dog is swimming to its owner .,A,a dog is being photographed .,A,1,0.533555,0.559528,1,1
an adult is instructing children .,the musician is drinking a lollipop .,B,the musician is drinking a lollipop .,B,1,0.529722,0.568426,1,1
the man is walking along over the roof while a man watches .,woman is putting up a new movie title,B,the man is walking along over the roof while a man watches .,A,0,0.521884,0.558457,1,0
the people are staying in their house .,the people are racing bicycles .,B,the people are racing bicycles .,B,1,0.521473,0.546873,1,1
a group of people walking past a group of civilian spectators .,a bug is walking down the road .,B,a bug is walking down the road .,B,1,0.516232,0.940886,1,1
the workers crew for a basket to build .,the workers are working,A,the workers crew for a basket to build .,A,1,0.511686,0.88989,1,1
the city street performer sits on a green bucket .,a street performer is walking home .,A,a street performer is walking home .,B,0,0.475045,0.817987,1,0
a girl is above some water .,a woman is blowing red rope and a rope into the water .,B,a woman is blowing red rope and a rope into the water .,B,1,0.468344,0.71172,1,1
three persons play some game .,children playing basketball outside .,B,children playing basketball outside .,B,1,0.468079,0.691701,1,1
a person holding a curb in the woods .,someone is juggling oranges,A,a person holding a curb in the woods .,A,1,0.460939,0.711681,1,1
a man is feeding a toy,the man is being watched .,A,a man is feeding a toy,A,1,0.45493,0.582302,1,1
a girl is holding a toothbrush .,a girl is holding something to his high hair .,B,a girl is holding something to his high hair .,B,1,0.451905,0.46075,1,1
the woman is dating a house .,the woman is walking for exercise .,A,the woman is dating a house .,A,1,0.434126,0.603672,1,1
the woman is wearing a green skirt and shorts .,a woman sings .,B,the woman is wearing a green skirt and shorts .,A,0,0.389759,0.967707,1,0
a man and woman fight .,the couple are dancing together at the fair .,B,the couple are dancing together at the fair .,B,1,0.367918,0.871224,1,1
a man is leaving from the storm,cops film where they found the body,A,a man is leaving from the storm,A,1,0.361828,0.805198,1,1
a smartly dressed woman is taking pictures .,the woman is breaking her picture taken .,B,the woman is breaking her picture taken .,B,1,0.353857,0.827294,1,1
