Example	pred	gold	neutral	contradiction	entailment
two women are embracing while holding to go packages . --> the sisters are hugging goodbye while holding to go packages after just eating lunch .	neutral	neutral	0.969950139523	0.0279849842191	0.00206489185803
two women are embracing while holding to go packages . --> two woman are holding packages .	entailment	entailment	0.0687458217144	0.0115794036537	0.919674754143
two women are embracing while holding to go packages . --> the men are fighting outside a deli .	contradiction	contradiction	0.0107796406373	0.988952219486	0.000268148578471
two young children in blue jerseys , one with the number 9 and one with the number 2 are standing on wooden steps in a bathroom and washing their hands in a sink . --> two kids in numbered jerseys wash their hands .	entailment	entailment	0.220517843962	0.122099556029	0.65738260746
two young children in blue jerseys , one with the number 9 and one with the number 2 are standing on wooden steps in a bathroom and washing their hands in a sink . --> two kids at a ballgame wash their hands .	entailment	neutral	0.344445496798	0.20021237433	0.455342054367
two young children in blue jerseys , one with the number 9 and one with the number 2 are standing on wooden steps in a bathroom and washing their hands in a sink . --> two kids in jackets walk to school .	contradiction	contradiction	0.108822613955	0.876566588879	0.0146108279005
a man selling donuts to a customer during a world exhibition event held in the city of angeles --> a woman drinks her coffee in a small cafe .	contradiction	contradiction	0.000432487664511	0.999546349049	2.11132937693e-05
a man selling donuts to a customer during a world exhibition event held in the city of angeles --> a man selling donuts to a customer during a world exhibition event while people wait in line behind him .	neutral	neutral	0.506119370461	0.129862815142	0.364017784595
a man selling donuts to a customer during a world exhibition event held in the city of angeles --> a man selling donuts to a customer .	entailment	entailment	0.291565269232	0.174985975027	0.533448755741
two young boys of opposing teams play football , while wearing full protection uniforms and helmets . --> boys play football	entailment	entailment	0.0371835157275	0.137931346893	0.824885129929
two young boys of opposing teams play football , while wearing full protection uniforms and helmets . --> dog eats out of bowl	contradiction	contradiction	3.55013980879e-05	0.999963641167	9.14999077395e-07
two young boys of opposing teams play football , while wearing full protection uniforms and helmets . --> boys scoring a touchdown	contradiction	neutral	0.358738154173	0.361739784479	0.279522061348
a man in a blue shirt standing in front of a garage-like structure painted with geometric designs . --> a man is repainting a garage	neutral	neutral	0.684323906898	0.140198454261	0.175477609038
a man in a blue shirt standing in front of a garage-like structure painted with geometric designs . --> a man is wearing a blue shirt	entailment	entailment	0.0343179814517	0.357178509235	0.608503520489
a man in a blue shirt standing in front of a garage-like structure painted with geometric designs . --> a man is wearing a black shirt	entailment	contradiction	0.0416653193533	0.314189940691	0.644144713879
under a blue sky with white clouds , a child reaches up to touch the propeller of a plane standing parked on a field of grass . --> a child is reaching to touch the propeller of a plane .	neutral	entailment	0.543485283852	0.287028878927	0.169485867023
under a blue sky with white clouds , a child reaches up to touch the propeller of a plane standing parked on a field of grass . --> a child is reaching to touch the propeller out of curiosity .	neutral	neutral	0.804653763771	0.0365489646792	0.158797249198
under a blue sky with white clouds , a child reaches up to touch the propeller of a plane standing parked on a field of grass . --> a child is playing with a ball .	neutral	contradiction	0.440903812647	0.139079779387	0.42001631856
a woman is doing a cartwheel while wearing a bikini in the sand next to the beach . --> a woman is doing a cartwheel .	entailment	entailment	0.147681042552	0.0696129873395	0.782706022263
a woman is doing a cartwheel while wearing a bikini in the sand next to the beach . --> a woman is fixing her home .	contradiction	contradiction	0.0101792346686	0.98973685503	8.38686755742e-05
a woman is doing a cartwheel while wearing a bikini in the sand next to the beach . --> a woman is doing a cartwheel and falls on her head .	neutral	contradiction	0.489933729172	0.326340854168	0.183725386858
