premise,hypo,label,sanity,class_prob,True sanity,True class_prob
"a child 's hands with purple sleeves , uses alligator clips .",the boy is making a story,contradiction,0.274,0.060,1,neutral
a man wearing no shirt skateboarding on the street,a man is jumping off the street .,neutral,0.385,0.343,0.5,neutral
a woman jogs beside a tall concrete wall .,the woman is standing underneath a group .,contradiction,0.296,0.298,0.5,contradiction
a street vendor wearing white pants and black t-shirt is standing near his cart with cold beverages .,a vendor is staring off of the street .,neutral,0.220,0.225,0.5,neutral
a young asian girl and her doll on a shaded grassy lawn .,a young girl near a bed .,entailment,0.387,0.004,1,neutral
this picture of a man reading is tilted .,the man is outside,neutral,0.477,0.888,1,neutral
a man is showing off his artistic skills on the wall .,a man looks at a wall .,neutral,0.513,0.126,1,neutral
a closeup of a white dog that is laying its head on its paws .,a pet catches a rope on his mouth,contradiction,0.572,0.627,0.2,neutral
a female bowler follows through after hurling her bowling ball down the lane .,the woman is holding her opponent .,contradiction,0.291,0.187,1,contradiction
a man with a bushy beard and a baseball cap sits on a park bench .,the man wants to use a newspaper to his friend .,neutral,0.133,0.753,0.2,-
an old man in a white hat is napping at a fishing pier .,the man is running from a boat .,entailment,0.546,0.001,1,contradiction
"a group of men playing soccer , most of them looking at one man in black .",old men are running in circles .,entailment,0.537,0.088,1,neutral
"a group of people headed up an escalator , many of them holding an umbrella .",security workers a building in a line .,entailment,0.470,0.092,0,-
an older gentleman plays with his dog with a toy bone .,some are are playing .,entailment,0.064,0.622,0,entailment
man in a business suit holding a protest sign by the street .,a man protesting his suit .,entailment,0.276,0.844,0.5,-
the national gallery stands in the distance .,jim forgot to walk at a show .,neutral,0.375,0.382,0.5,contradiction
a woman helping a young blond girl .,the girl is screaming,neutral,0.337,0.691,1,neutral
a child sitting in the bleachers on top of a ball cheering .,a child eating a cow .,contradiction,0.636,0.997,1,contradiction
an older man in a white shirt walks out of a building through a pair of wooden doors .,an older woman walks in high balls .,contradiction,0.507,1.000,0.5,contradiction
a man is splitting wood in front of an audience .,it is black .,entailment,0.364,0.004,0.8,neutral
a person wrings out a mop in a janitor 's bucket .,the person is an actual from a guy and shaving .,neutral,0.341,0.490,0,-
there is one man standing behind the counter at a restaurant where all the words on the signs are in spanish .,a person looks out of the glass of leaves .,neutral,0.350,0.534,0.2,-
a person jumps off of a ledge into a body of water .,the person is naked .,contradiction,0.457,0.945,1,contradiction
woman jogging in the rain .,a woman without body jump outside .,contradiction,0.360,0.069,0,-
a cowboy is riding a horse whilst spinning a lasso around .,a woman is playing outside .,contradiction,0.199,0.163,1,contradiction
members of a marching band and dancers in yellow-fringed outfits perform on a sports field .,few men dancing on a club,contradiction,0.450,0.709,0.2,neutral
a woman in a gray sweater sits at a modern table reading a newspaper .,the woman is near a table .,entailment,0.437,0.939,1,entailment
a dog with big ears is holding a small stick in its mouth .,there is a dog chews in a small full with his mouth,neutral,0.299,0.190,0,-
a woman wearing a scarf and black knee-high boots is walking down the street .,a woman in a tank top is walking,entailment,0.434,0.875,1,neutral
a lady is chasing after a little boy .,people playing in the pacific derby .,contradiction,0.466,0.040,1,contradiction
several young children are enjoying juice boxes while an older boy holds a soccer ball .,a group of kids are driving .,entailment,0.301,0.003,1,neutral
three chefs sitting outside,three people are sleeping .,contradiction,0.553,0.998,1,contradiction
a man and a dog walking on the beach together .,the family belongs for the picture at the beach .,contradiction,0.446,0.010,0,-
a race car driver accepts his trophy .,the jeep stand .,entailment,0.424,0.283,0,-
a guy playing with a rope toy on a sidewalk .,two men outdoors .,contradiction,0.519,0.001,1,contradiction
two men walk through the water .,man are enjoying a bed .,neutral,0.173,0.006,0.5,contradiction
a crowd is outside watching someone in the center of them .,the couple is riding a horse .,contradiction,0.488,0.997,1,contradiction
two young girls are having fun snow sledding down a hill .,two young girls are dressed in snow gear .,entailment,0.303,0.422,1,entailment
several people are gathered and watching an event .,a group of people are doing their taxes .,contradiction,0.343,0.868,1,contradiction
the bald-headed lead singer of the band sings into the microphone while the guitarist plays beside him .,a band performs playing for the symphony .,contradiction,0.721,0.019,0.2,-
a construction worker is working on a support beam on a building .,two workers are near a man inside eating lunch .,neutral,0.570,0.003,0.8,contradiction
